Time,Charge
596.5,-1682.692308
597,-1726.495726
597.5,-1808.760684
598,-1833.333333
598.5,-1876.068376
599,-1899.57265
599.5,-1944.444444
600,-1977.564103
600.5,-1989.316239
601,-1983.974359
601.5,-1965.811966
602,-1952.991453
602.5,-1942.307692
603,-1930.555556
603.5,-1918.803419
604,-1907.051282
604.5,-1895.299145
605,-1883.547009
605.5,-1871.794872
606,-1860.042735
606.5,-1848.290598
607,-1836.538462
607.5,-1824.786325
608,-1807.692308
608.5,-1809.82906
609,-1803.418803
609.5,-1786.324786
610,-1771.367521
610.5,-1747.863248
611,-1721.153846
611.5,-1694.444444
612,-1673.076923
612.5,-1673.076923
613,-1673.076923
613.5,-1673.076923
614,-1673.076923
614.5,-1673.076923
615,-1673.076923
615.5,-1673.076923
616,-1673.076923
616.5,-1673.076923
617,-1673.076923
617.5,-1673.076923
618,-1673.076923
618.5,-1673.076923
619,-1673.076923
619.5,-1673.076923
620,-1673.076923
620.5,-1673.076923
621,-1673.076923
621.5,-1673.076923
622,-1673.076923
622.5,-1673.076923
623,-1673.076923
623.5,-1673.076923
624,-1673.076923
624.5,-1673.076923
625,-1673.076923
625.5,-1673.076923
626,-1673.076923
626.5,-1673.076923
627,-1673.076923
627.5,-1673.076923
628,-1673.076923
628.5,-1673.076923
629,-1673.076923
629.5,-1673.076923
630,-1673.076923
630.5,-1673.076923
631,-1673.076923
631.5,-1673.076923
632,-1673.076923
632.5,-1673.076923
633,-1673.076923
633.5,-1673.076923
634,-1673.076923
634.5,-1673.076923
635,-1674.145299
635.5,-1777.777778
636,-1801.282051
636.5,-1803.418803
637,-1837.606838
637.5,-1863.247863
638,-1879.273504
638.5,-1899.57265
639,-1919.871795
639.5,-1948.717949
640,-1965.811966
640.5,-1982.905983
641,-2009.615385
641.5,-1979.700855
642,-1979.700855
642.5,-2038.461538
643,-2081.196581
643.5,-2123.931624
644,-2174.145299
644.5,-2225.42735
645,-2270.299145
645.5,-2293.803419
646,-2316.239316
646.5,-2323.717949
647,-2323.717949
647.5,-2360.042735
648,-2353.632479
648.5,-2347.222222
649,-2340.811966
649.5,-2334.401709
650,-2327.991453
650.5,-2321.581197
651,-2315.17094
651.5,-2308.760684
652,-2302.350427
652.5,-2310.897436
653,-2317.307692
653.5,-2320.512821
654,-2320.512821
654.5,-2319.444444
655,-2318.376068
655.5,-2317.307692
656,-2316.239316
656.5,-2314.102564
657,-2311.965812
657.5,-2309.82906
658,-2307.692308
658.5,-2305.555556
659,-2303.418803
659.5,-2301.282051
660,-2299.145299
660.5,-2297.008547
661,-2294.871795
661.5,-2292.735043
662,-2290.598291
662.5,-2288.461538
663,-2286.324786
663.5,-2284.188034
664,-2282.051282
664.5,-2279.91453
665,-2277.777778
665.5,-2275.641026
666,-2273.504274
666.5,-2271.367521
667,-2269.230769
667.5,-2267.094017
668,-2264.957265
668.5,-2262.820513
669,-2260.683761
669.5,-2258.547009
670,-2253.205128
670.5,-2259.615385
671,-2224.358974
671.5,-2181.623932
672,-2100.42735
672.5,-2042.735043
673,-1951.923077
673.5,-1902.777778
674,-1883.547009
674.5,-1833.333333
675,-1810.897436
675.5,-1764.957265
676,-1742.521368
676.5,-1742.521368
677,-1772.435897
677.5,-1763.888889
678,-1743.589744
678.5,-1716.880342
679,-1689.102564
679.5,-1662.393162
680,-1643.162393
680.5,-1643.162393
681,-1643.162393
681.5,-1643.162393
682,-1643.162393
682.5,-1643.162393
683,-1643.162393
683.5,-1643.162393
684,-1643.162393
684.5,-1643.162393
685,-1643.162393
685.5,-1643.162393
686,-1643.162393
686.5,-1643.162393
687,-1643.162393
687.5,-1643.162393
688,-1643.162393
688.5,-1643.162393
689,-1643.162393
689.5,-1643.162393
690,-1643.162393
690.5,-1643.162393
691,-1643.162393
691.5,-1643.162393
692,-1643.162393
692.5,-1643.162393
693,-1643.162393
693.5,-1643.162393
694,-1643.162393
694.5,-1643.162393
695,-1643.162393
695.5,-1643.162393
696,-1643.162393
696.5,-1643.162393
697,-1643.162393
697.5,-1643.162393
698,-1643.162393
698.5,-1643.162393
699,-1643.162393
699.5,-1643.162393
700,-1643.162393
700.5,-1643.162393
701,-1643.162393
701.5,-1643.162393
702,-1643.162393
702.5,-1643.162393
703,-1643.162393
703.5,-1744.65812
704,-1762.820513
