Zeit [s],Leistung [kW],Leistung [W],Current [A],Charge [C],SOC [%],U_R1 [V],U_R [V],I_R1 [A],U_R2 [V],I_R2 [A],Q_Irreversibel [W],Q_Sum_Cell [W],U_ges [V],Temperatur [K],Output Temperature [K],OCV [V],R [Ohm],R1 [Ohm],R2 [Ohm],C1 [C],C2 [C]
865.0,0.5,-500,-10.683760683760683,-3449.7863247863534,32.88796465879785,-0.0241982750567653,-0.02345379985754986,-15.553670302131774,-0.017345055988916433,-12.758303536783712,0,0,45.98250761351371,293.15,293.15,3.6021131011735172,0.0021952756666666668,0.0015565319016161267,0.0013585145039611934,8512.943805793075,7084.851857914668
865.5,0.5,-500,-10.683760683760683,-3455.1282051282337,32.86146723646709,-0.02391199623078926,-0.02345379985754985,-15.376975329640011,-0.01719862131207454,-12.641324961448989,0,0,45.98638988860943,293.15,293.15,3.6019790242165235,0.0021952756666666663,0.0015557919504985715,0.0013595111559235571,8505.535821183483,7083.509513470433
866.0,0.5,-500,-10.683760683760683,-3460.470085470114,32.834969814136336,-0.023635863961651057,-0.02345379985754985,-15.206640126130388,-0.017060417551066916,-12.530563104411712,0,0,45.99003325656041,293.15,293.15,3.60184494725953,0.0021952756666666663,0.0015550519993810163,0.001360507807885921,8498.12783657389,7082.167169026202
866.5,0.5,-500,-10.683760683760683,-3465.8119658119945,32.80847239180558,-0.023369521441745436,-0.02345379985754986,-15.042444109724928,-0.016930008844002194,-12.425684424949676,0,0,45.9934480220701,293.15,293.15,3.6017108703025356,0.0021952756666666668,0.001554312048263461,0.0013615044598482848,8490.719851964303,7080.82482458197
867.0,0.5,-500,-10.683760683760683,-3471.153846153875,32.781974969474824,-0.02311262392965837,-0.02345379985754986,-14.884174048542915,-0.016806982637914664,-12.326373452499919,0,0,45.99664402996546,293.15,293.15,3.6015767933455427,0.0021952756666666668,0.001553572097145906,0.0013625011118106488,8483.31186735471,7079.482480137738
867.5,0.5,-500,-10.683760683760683,-3476.495726495755,32.75547754714407,-0.0228648383587688,-0.02345379985754986,-14.73162382604658,-0.016690948429969564,-12.2323317981292,0,0,45.99963068664939,293.15,293.15,3.601442716388549,0.0021952756666666668,0.00155283214602835,0.0013634977637730123,8475.903882745122,7078.140135693504
868.0,0.5,-500,-10.683760683760683,-3481.8376068376356,32.72898012481332,-0.022625842957993022,-0.02345379985754985,-14.584594213542475,-0.016581536577317552,-12.14327722060792,0,0,46.002416980503035,293.15,293.15,3.6013086394315557,0.0021952756666666663,0.0015520921949107951,0.001364494415735376,8468.49589813553,7076.797791249272
868.5,0.5,-500,-10.683760683760683,-3487.179487179516,32.702482702482556,-0.022395326884312595,-0.02345379985754986,-14.442892649630664,-0.016478397171817778,-12.058942744042053,0,0,46.005011501291456,293.15,293.15,3.6011745624745615,0.0021952756666666668,0.00155135224379324,0.00136549106769774,8461.087913525938,7075.45544680504
869.0,0.5,-500,-10.683760683760683,-3492.5213675213963,32.67598528015181,-0.022172989866736874,-0.02345379985754986,-14.306333026399942,-0.016381198976059327,-11.979075824189248,0,0,46.00742245862389,293.15,293.15,3.6010404855175686,0.0021952756666666668,0.0015506122926756845,0.0013664877196601036,8453.67992891635,7074.113102360807
869.5,0.5,-500,-10.683760683760683,-3497.8632478632767,32.64948785782104,-0.0219585418613609,-0.02345379985754986,-14.174735482172622,-0.016289628417309156,-11.903437560746985,0,0,46.009657699516616,293.15,293.15,3.600906408560575,0.0021952756666666668,0.001549872341558129,0.0013674843716224676,8446.271944306758,7072.770757916575
