Time,Charge
530,-3459.45478138617
530.5,-3477.49477893273
531,-3495.51015807102
531.5,-3513.52267765671
532,-3532.6586426067
532.5,-3551.8165971066
533,-3566.46707098642
533.5,-3567.5883946953
534,-3567.5883946953
534.5,-3552.16715825454
535,-3552.16715825454
535.5,-3549.97265921066
536,-3548.87932613802
536.5,-3548.87932613802
537,-3553.2522627558
537.5,-3559.83613831446
538,-3566.43165938905
538.5,-3574.12315348789
539,-3582.92028961201
539.5,-3591.7253274417
540,-3600.52861756951
540.5,-3609.33018274811
541,-3619.23011967732
541.5,-3629.14025974311
542,-3639.04976702607
542.5,-3648.95859843036
543,-3657.76590307697
543.5,-3666.56211046895
544,-3675.35702091171
544.5,-3684.15080130944
545,-3688.54716521834
545.5,-3673.23528838001
546,-3652.9006742222
546.5,-3593.4005060321
547,-3538.42763889664
547.5,-3485.49740641134
548,-3434.71089385436
548.5,-3385.02409099202
549,-3337.48020673572
549.5,-3291.00046059313
550,-3245.61806836587
550.5,-3201.31822774715
551,-3154.06811203347
551.5,-3154.06811203347
552,-3104.9012867487
552.5,-3101.9116698101
553,-3091.50135070007
553.5,-3100.80665026456
554,-3097.64094329043
554.5,-3105.98776899302
555,-3113.3829699947
555.5,-3118.66735229685
556,-3119.72323356658
556.5,-3119.72323356658
557,-3118.67131249717
557.5,-3117.61993123569
558,-3116.56805113851
558.5,-3115.51569803262
559,-3114.46289540863
559.5,-3112.35643572188
560,-3110.25147560035
560.5,-3108.14590119601
561,-3106.03974852325
561.5,-3103.9330475938
562,-3101.82582689029
562.5,-3099.71811343766
563,-3097.60993287953
563.5,-3095.50130955047
564,-3093.39226654451
564.5,-3091.2828257801
565,-3089.17300806168
565.5,-3087.06283313793
566,-3083.89706306664
566.5,-3070.19187045852
567,-3069.14912076731
567.5,-3052.25396887691
568,-3030.43871261482
568.5,-2985.00353568254
569,-2911.50363326054
569.5,-2835.32418592544
570,-2765.47168192411
570.5,-2765.47168192411
571,-2703.17800270306
571.5,-2675.82536913037
572,-2637.52911025084
572.5,-2582.73429753388
573,-2553.36126769735
573.5,-2553.36126769735
574,-2518.33010661918
574.5,-2520.32283165699
575,-2467.65950939875
575.5,-2444.14427903741
576,-2414.97631609486
576.5,-2388.97690392465
577,-2360.90760593571
577.5,-2360.90760593571
578,-2360.90760593571
578.5,-2360.90760593571
579,-2360.90760593571
579.5,-2360.90760593571
580,-2360.90760593571
580.5,-2360.90760593571
581,-2360.90760593571
581.5,-2360.90760593571
582,-2360.90760593571
582.5,-2360.90760593571
583,-2360.90760593571
583.5,-2360.90760593571
584,-2360.90760593571
584.5,-2360.90760593571
585,-2360.90760593571
585.5,-2360.90760593571
586,-2360.90760593571
586.5,-2360.90760593571
587,-2360.90760593571
587.5,-2360.90760593571
588,-2360.90760593571
588.5,-2360.90760593571
589,-2360.90760593571
589.5,-2360.90760593571
590,-2360.90760593571
590.5,-2360.90760593571
591,-2360.90760593571
591.5,-2360.90760593571
592,-2360.90760593571
592.5,-2360.90760593571
593,-2360.90760593571
593.5,-2360.90760593571
594,-2360.90760593571
594.5,-2360.90760593571
595,-2360.90760593571
595.5,-2360.90760593571
596,-2360.90760593571
596.5,-2360.90760593571
597,-2404.0601376614
597.5,-2488.96467108097
598,-2515.63335319839
598.5,-2559.35025940469
599,-2583.88839716319
599.5,-2629.89526750704
600,-2664.7087900927
600.5,-2676.94578540433
601,-2671.50703965
601.5,-2653.35326587582
602,-2640.71980215241
602.5,-2630.15027601901
603,-2618.51419394056
603.5,-2606.90402302805
604,-2595.30675041084
604.5,-2583.72187624731
605,-2572.14879677708
605.5,-2560.58694404009
606,-2549.03578219906
606.5,-2537.49480561046
607,-2525.96353700362
607.5,-2514.44152577744
608,-2497.69508305586
608.5,-2499.77555852993
609,-2493.41727624855
609.5,-2476.60657837449
610,-2462.06068951458
610.5,-2439.17259680638
611,-2413.40706115562
611.5,-2387.75155218308
612,-2367.25483395179
612.5,-2367.25483395179
613,-2367.25483395179
613.5,-2367.25483395179
614,-2367.25483395179
614.5,-2367.25483395179
615,-2367.25483395179
615.5,-2367.25483395179
616,-2367.25483395179
616.5,-2367.25483395179
617,-2367.25483395179
617.5,-2367.25483395179
618,-2367.25483395179
618.5,-2367.25483395179
619,-2367.25483395179
619.5,-2367.25483395179
620,-2367.25483395179
620.5,-2367.25483395179
621,-2367.25483395179
621.5,-2367.25483395179
622,-2367.25483395179
622.5,-2367.25483395179
623,-2367.25483395179
623.5,-2367.25483395179
624,-2367.25483395179
624.5,-2367.25483395179
625,-2367.25483395179
625.5,-2367.25483395179
626,-2367.25483395179
626.5,-2367.25483395179
627,-2367.25483395179
627.5,-2367.25483395179
628,-2367.25483395179
628.5,-2367.25483395179
629,-2367.25483395179
629.5,-2367.25483395179
630,-2367.25483395179
630.5,-2367.25483395179
631,-2367.25483395179
631.5,-2367.25483395179
632,-2367.25483395179
632.5,-2367.25483395179
633,-2367.25483395179
633.5,-2367.25483395179
634,-2367.25483395179
634.5,-2367.25483395179
635,-2368.31285906309
635.5,-2471.06452359639
636,-2497.25584354788
636.5,-2499.44938935021
637,-2533.68997444715
637.5,-2560.28858720952
638,-2576.806558461
638.5,-2597.52817494998
639,-2618.36144583599
639.5,-2648.00012366847
640,-2665.75454184692
640.5,-2683.30312868254
641,-2710.7348386235
641.5,-2679.65138107282
642,-2679.65138107282
642.5,-2738.79150766138
643,-2784.72429732051
643.5,-2830.13191806666
644,-2883.59454301796
644.5,-2938.83990248654
645,-2987.42404891382
