Batterie Ladung [C],Zeit [s]
-3005.9282391352094,268.0
-3004.85771697431,268.5
-3003.7875740272407,269.0
-3002.717793516977,269.5
-3001.6483594993238,270.0
-3000.579256817998,270.5
-2999.510471062317,271.0
-2998.4419885273273,271.5
-2997.3737961762336,272.0
-2996.305881604973,272.5
-2995.238233008812,273.0
-2994.1708391508414,273.5
-2993.103689332249,274.0
-2992.0367733642706,274.5
-2990.9700815417123,275.0
-2989.903604617951,275.5
-2988.8373337813264,276.0
-2987.771260632843,276.5
-2986.7053771651017,277.0
-2985.639675742387,277.5
-2984.574149081851,278.0
-2983.5087902357172,278.5
-2982.4435925744574,279.0
-2981.3785497708755,279.5
-2976.054079841756,280.0
-2983.4710774248556,280.5
-2946.929094899388,281.0
-2911.120246303547,281.5
-2838.598701632025,282.0
-2777.862785227064,282.5
-2702.7911013006933,283.0
-2661.087046813473,283.5
-2644.077947439567,284.0
-2608.18511066888,284.5
-2576.0429378607955,285.0
-2546.841054420357,285.5
-2516.5738327934237,286.0
-2516.5738327934237,286.5
-2525.9279830947753,287.0
-2497.5456531295795,287.5
-2479.363277621312,288.0
-2450.7949357586253,288.5
-2430.6225913574704,289.0
-2407.236152508359,289.5
-2384.9527804983127,290.0
-2384.9527804983127,290.5
-2384.9527804983127,291.0
-2384.9527804983127,291.5
-2384.9527804983127,292.0
-2384.9527804983127,292.5
-2384.9527804983127,293.0
-2384.9527804983127,293.5
-2384.9527804983127,294.0
-2384.9527804983127,294.5
-2384.9527804983127,295.0
-2384.9527804983127,295.5
-2384.9527804983127,296.0
-2384.9527804983127,296.5
-2384.9527804983127,297.0
-2384.9527804983127,297.5
-2384.9527804983127,298.0
-2384.9527804983127,298.5
-2384.9527804983127,299.0
-2384.9527804983127,299.5
-2384.9527804983127,300.0
-2384.9527804983127,300.5
-2384.9527804983127,301.0
-2384.9527804983127,301.5
-2384.9527804983127,302.0
-2384.9527804983127,302.5
-2384.9527804983127,303.0
-2384.9527804983127,303.5
-2384.9527804983127,304.0
-2384.9527804983127,304.5
-2384.9527804983127,305.0
-2384.9527804983127,305.5
-2384.9527804983127,306.0
-2384.9527804983127,306.5
-2384.9527804983127,307.0
-2384.9527804983127,307.5
-2384.9527804983127,308.0
-2384.9527804983127,308.5
-2384.9527804983127,309.0
-2384.9527804983127,309.5
-2384.9527804983127,310.0
-2384.9527804983127,310.5
-2384.9527804983127,311.0
-2384.9527804983127,311.5
-2384.9527804983127,312.0
-2384.9527804983127,312.5
-2384.9527804983127,313.0
-2485.288337046404,313.5
-2502.0007317516283,314.0
-2518.2642110921774,314.5
-2550.805665145427,315.0
-2576.2610768544932,315.5
-2592.75617580738,316.0
-2613.460184758955,316.5
-2633.1868977602817,317.0
-2657.2943642150613,317.5
-2672.729531475019,318.0
-2686.933131475167,318.5
-2703.307282181493,319.0
-2719.730774197501,319.5
-2718.6351606193925,320.0
-2739.041905293595,320.5
-2756.653196890072,321.0
-2775.3196732224433,321.5
-2792.92155067875,322.0
-2808.3146293371133,322.5
-2822.579555172444,323.0
-2833.5427164459306,323.5
-2845.5594448587412,324.0
-2857.592354442543,324.5
-2870.7217794230373,325.0
-2883.870586015986,325.5
-2897.023062981659,326.0
-2909.0826044118885,326.5
-2921.129565329333,327.0
-2921.129565329333,327.5
-2945.972654216252,328.0
-3004.88717107728,328.5
-3060.584352025268,329.0
-3103.494494554578,329.5
-3138.9920597815612,330.0
-3170.832019350963,330.5
-3202.5784675673794,331.0
-3234.359218605523,331.5
-3265.041410758818,332.0
-3294.5806784105444,332.5
-3322.972740486778,333.0
-3349.0801525413513,333.5
-3374.002756329925,334.0
-3396.640416982474,334.5
-3416.968043775902,335.0
-3434.9923786297045,335.5
-3452.9693191114993,336.0
-3472.067903936106,336.5
-3491.1913971255776,337.0
-3511.4415379268517,337.5
-3528.3404827350896,338.0
-3531.70728755799,338.5
-3523.976779027707,339.0
-3523.976779027707,339.5
-3527.267197252682,340.0
-3526.167484292984,340.5
-3525.0743528320445,341.0
-3525.0743528320445,341.5
-3530.53452149356,342.0
-3537.1220211776263,342.5
-3544.8134416448206,343.0
-3553.611243377993,343.5
-3562.4176104992184,344.0
-3571.2221052917357,344.5
-3581.1250733803577,345.0
-3591.0388599398807,345.5
-3600.9517570276016,346.0
-3610.863716994794,346.5
-3620.7748150179373,347.0
-3630.685124051448,347.5
-3639.4936481393306,348.0
-3648.2902139798675,348.5
-3657.0854154131684,349.0
-3665.879437235474,349.5
-3670.2758986870926,350.0
-3652.7823916963684,350.5
-3633.601080819452,351.0
-3579.466191089882,351.5
-3527.496958613245,352.0
-3476.6375588561214,352.5
-3427.939278369951,353.0
-3381.326851885279,353.5
-3335.773368239369,354.0
-3291.3133613513596,354.5
-3247.9325489600274,355.0
-3205.6200139957523,355.5
-3159.3347207249967,356.0
-3159.3347207249967,356.5
-3118.4423681943604,357.0
-3113.422949864436,357.5
-3106.133184003773,358.0
-3112.3688701299207,358.5
-3110.258423100717,359.0
-3118.632393573517,359.5
-3126.0497317658196,360.0
-3131.348857729068,360.5
-3134.5244220953614,361.0
-3134.5244220953614,361.5
-3133.470372822834,362.0
-3132.4170448446166,362.5
-3131.3633011791294,363.0
-3130.3091638494916,363.5
-3129.25465254491,364.0
-3128.1997859518815,364.5
-3127.1445818047905,365.0
-3125.0335320657714,365.5
-3122.92437111714,366.0
-3120.814781971371,366.5
-3118.7047923221385,367.0
-3116.59442351296,367.5
-3114.483695800961,368.0
-3112.3726284032114,368.5
-3110.261239551553,369.0
-3108.1495465445028,369.5
-3106.0375657964046,370.0
-3103.9253128839728,370.5
-3099.700292296756,371.0
-3086.0000941871854,371.5
-3089.1281349011765,372.0
-3074.2615325337365,372.5
-3054.4803595677467,373.0
-3011.0247731841487,373.5
-2939.516462221955,374.0
-2865.3967412799902,374.5
-2796.6011314236666,375.0
-2796.6011314236666,375.5
-2734.1537634746464,376.0
-2711.735771051729,376.5
-2675.248478396255,377.0
-2622.3495811693265,377.5
-2593.9313689608903,378.0
-2553.8068147526915,378.5
-2464.68306617835,379.0
-2513.622175248612,379.5
-2464.832314514657,380.0
-2444.2375238635195,380.5
-2421.055889978487,381.0
-2391.906491070441,381.5
-2352.9553243763426,382.0
-2352.9553243763426,382.5
-2352.9553243763426,383.0
-2352.9553243763426,383.5
-2352.9553243763426,384.0
-2352.9553243763426,384.5
-2352.9553243763426,385.0
-2352.9553243763426,385.5
-2352.9553243763426,386.0
-2352.9553243763426,386.5
-2352.9553243763426,387.0
-2352.9553243763426,387.5
-2352.9553243763426,388.0
-2352.9553243763426,388.5
-2352.9553243763426,389.0
-2352.9553243763426,389.5
-2352.9553243763426,390.0
-2352.9553243763426,390.5
-2352.9553243763426,391.0
-2352.9553243763426,391.5
-2352.9553243763426,392.0
-2352.9553243763426,392.5
-2352.9553243763426,393.0
-2352.9553243763426,393.5
-2352.9553243763426,394.0
-2352.9553243763426,394.5
-2352.9553243763426,395.0
-2352.9553243763426,395.5
-2352.9553243763426,396.0
-2352.9553243763426,396.5
-2352.9553243763426,397.0
-2352.9553243763426,397.5
-2352.9553243763426,398.0
-2352.9553243763426,398.5
-2352.9553243763426,399.0
-2352.9553243763426,399.5
-2352.9553243763426,400.0
-2352.9553243763426,400.5
-2352.9553243763426,401.0
-2352.9553243763426,401.5
-2385.582634039888,402.0
-2476.2488900122867,402.5
-2496.203253226624,403.0
-2539.633780646615,403.5
-2563.0902183918947,404.0
-2607.962609288922,404.5
-2643.9145792955974,405.0
-2641.684847713411,405.5
-2637.4069459724083,406.0
-2618.213014368636,406.5
-2605.6358469104566,407.0
-2596.150228283839,407.5
-2584.5308947300305,408.0
-2572.9496957456145,408.5
-2562.43169501283,409.0
-2551.9116357346606,409.5
-2541.4006658540397,410.0
-2530.8982333683175,410.5
-2520.4039379963438,411.0
-2509.917400624153,411.5
-2499.4382633570967,412.0
-2488.966188238172,412.5
-2472.2216567565674,413.0
-2478.453877157612,413.5
-2476.3250486657917,414.0
-2460.4986644060573,414.5
-2448.0281169810755,415.0
-2427.1863077624807,415.5
-2403.4526903091582,416.0
-2378.793655489256,416.5
-2352.140929083496,417.0
-2352.140929083496,417.5
-2352.140929083496,418.0
-2352.140929083496,418.5
-2352.140929083496,419.0
-2352.140929083496,419.5
-2352.140929083496,420.0
-2352.140929083496,420.5
-2352.140929083496,421.0
-2352.140929083496,421.5
-2352.140929083496,422.0
-2352.140929083496,422.5
-2352.140929083496,423.0
-2352.140929083496,423.5
-2352.140929083496,424.0
-2352.140929083496,424.5
-2352.140929083496,425.0
-2352.140929083496,425.5
-2352.140929083496,426.0
-2352.140929083496,426.5
-2352.140929083496,427.0
-2352.140929083496,427.5
-2352.140929083496,428.0
-2352.140929083496,428.5
-2352.140929083496,429.0
-2352.140929083496,429.5
-2352.140929083496,430.0
-2352.140929083496,430.5
-2352.140929083496,431.0
-2352.140929083496,431.5
-2352.140929083496,432.0
-2352.140929083496,432.5
-2352.140929083496,433.0
-2352.140929083496,433.5
-2352.140929083496,434.0
-2352.140929083496,434.5
-2352.140929083496,435.0
-2352.140929083496,435.5
-2352.140929083496,436.0
-2352.140929083496,436.5
-2352.140929083496,437.0
-2352.140929083496,437.5
-2352.140929083496,438.0
-2352.140929083496,438.5
-2352.140929083496,439.0
-2352.140929083496,439.5
-2352.140929083496,440.0
-2452.655515168347,440.5
-2475.3807513931297,441.0
-2488.5050504629507,441.5
-2520.992021419737,442.0
-2547.5972411565053,442.5
-2564.141413362517,443.0
-2583.788688704133,443.5
-2603.5214859243038,444.0
-2628.7605988809128,444.5
-2645.3428718579084,445.0
-2661.7763129456275,445.5
-2685.8883420667134,446.0
-2650.476739947573,446.5
-2656.684003623592,447.0
-2711.83331500946,447.5
-2753.104622577278,448.0
-2798.340583471069,448.5
-2850.7309946495625,449.0
-2904.8637784070957,449.5
-2951.16516295379,450.0
-2976.459633973994,450.5
-2998.9287176304847,451.0
-3002.2899674257833,451.5
-3002.2899674257833,452.0
-3002.2899674257833,452.5
-3004.4690485479814,453.0
-2996.831106036755,453.5
-2990.3633165925617,454.0
-2983.896492489795,454.5
-2977.4383005886816,455.0
-2970.9882667256093,455.5
-2964.5459964443176,456.0
-2958.1111166219584,456.5
-2958.1111166219584,457.0
-2965.6576732905573,457.5
-2971.092087212536,458.0
-2973.2605379328693,458.5
-2973.2605379328693,459.0
-2972.1836392684727,459.5
-2971.1086126022233,460.0
-2970.034180817167,460.5
-2968.9603176402434,461.0
-2967.8869967898327,461.5
-2966.81419333936,462.0
-2965.7418836398997,462.5
-2964.6700452490213,463.0
-2963.5986568639046,463.5
-2962.5276982584514,464.0
-2961.457150224136,464.5
-2960.386994514359,465.0
-2959.317213792073,465.5
-2958.2477915804848,466.0
-2957.1787122166306,466.5
-2956.109960807648,467.0
-2955.041523189577,467.5
-2953.973385888537,468.0
-2952.905536084122,468.5
-2951.837961574892,469.0
-2950.7706507458215,469.5
-2949.7035925375944,470.0
-2948.636776417625,470.5
-2947.570192352708,471.0
-2946.5038307832006,471.5
-2945.4376825986365,472.0
-2944.3717391146956,472.5
-2943.3059920514465,473.0
-2942.240433512785,473.5
-2941.1750559669986,474.0
-2940.1098522283946,474.5
-2933.71963149758,475.0
-2942.186585765559,475.5
-2903.444281705424,476.0
-2864.6662765221718,476.5
-2788.3317686281453,477.0
-2748.3559809105254,477.5
-2736.2444952183932,478.0
-2669.7822977304722,478.5
-2647.2745916891204,479.0
-2605.361149818508,479.5
-2570.357037172141,480.0
-2539.183890256639,480.5
-2504.903378033453,481.0
-2504.903378033453,481.5
-2514.269211147518,482.0
-2481.63960018747,482.5
-2455.4739986129775,483.0
-2434.219611713475,483.5
-2409.8197635061506,484.0
-2384.5030325599287,484.5
-2371.3605005812155,485.0
-2371.3605005812155,485.5
-2371.3605005812155,486.0
-2371.3605005812155,486.5
-2371.3605005812155,487.0
-2371.3605005812155,487.5
-2371.3605005812155,488.0
-2371.3605005812155,488.5
-2371.3605005812155,489.0
-2371.3605005812155,489.5
-2371.3605005812155,490.0
-2371.3605005812155,490.5
-2371.3605005812155,491.0
-2371.3605005812155,491.5
-2371.3605005812155,492.0
-2371.3605005812155,492.5
-2371.3605005812155,493.0
-2371.3605005812155,493.5
-2371.3605005812155,494.0
-2371.3605005812155,494.5
-2371.3605005812155,495.0
-2371.3605005812155,495.5
-2371.3605005812155,496.0
-2371.3605005812155,496.5
-2371.3605005812155,497.0
-2371.3605005812155,497.5
-2371.3605005812155,498.0
-2371.3605005812155,498.5
-2371.3605005812155,499.0
-2371.3605005812155,499.5
-2371.3605005812155,500.0
-2371.3605005812155,500.5
-2371.3605005812155,501.0
-2371.3605005812155,501.5
-2371.3605005812155,502.0
-2371.3605005812155,502.5
-2371.3605005812155,503.0
-2371.3605005812155,503.5
-2371.3605005812155,504.0
-2371.3605005812155,504.5
-2371.3605005812155,505.0
-2371.3605005812155,505.5
-2371.3605005812155,506.0
-2371.3605005812155,506.5
-2371.3605005812155,507.0
-2371.3605005812155,507.5
-2371.3605005812155,508.0
-2473.817137175841,508.5
-2498.9790280704233,509.0
-2513.220290538163,509.5
-2545.7140208773344,510.0
