Zeit [s],Leistung [kW],Leistung [W],Strom [A],Ladungsmenge[t],SOC [%],OCV,R,R1,C1,R2,C2
400.0,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
400.5,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
401.0,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
401.5,3.1,-3100.0,-68.88888888888889,-1953.333333333316,30.31084656084665,3.5890728835978836,0.0017800000000000001,0.0014843024735449759,8918.173337830707,0.0012366406084656056,7342.71898769842
402.0,8.3,-8300.0,-184.44444444444449,-2045.555555555538,29.853395061728484,3.5865206790123465,0.00178,0.0014748577854938284,8831.338831327172,0.0012492698919753073,7307.626535879634
402.5,1.7,-1700.0,-37.77777777777778,-2064.4444444444266,29.75970017636693,3.585894797178131,0.00178,0.0014737059942680787,8820.749257363326,0.0012508100485008804,7303.346968584659
403.0,4.0,-4000.0,-88.88888888888889,-2108.888888888871,29.539241622575048,3.584422134038801,0.00178,0.0014709958972663152,8795.832612742515,0.0012544339462081115,7293.27739847884
403.5,2.1,-2100.0,-46.66666666666666,-2132.2222222222044,29.423500881834304,3.583648985890653,0.00178,0.0014695730963403893,8782.75137431659,0.0012563364925044077,7287.990874173284
404.0,4.1,-4100.0,-91.11111111111111,-2177.77777777776,29.197530864197617,3.5821395061728403,0.00178,0.0014667952469135815,8757.211813580256,0.0012600509876543196,7277.669564814819
404.5,3.2,-3200.0,-71.11111111111111,-2213.333333333316,29.02116402116411,3.580961375661376,0.00178,0.0014646271693121707,8737.278497883608,0.0012629501058201045,7269.613908730163
405.0,-0.2,200.0,4.444444444444445,-2211.1111111110936,29.032186948853703,3.5810350088183425,0.00178,0.0014647626741622587,8738.524330114647,0.0012627689109347428,7270.117387235454
405.5,-0.4,400.0,8.88888888888889,-2206.666666666649,29.05423280423289,3.5811822751322757,0.00178,0.0014650336838624351,8741.01599457673,0.0012624065211640197,7271.124344246035
406.0,-1.8,1800.0,40.0,-2186.666666666649,29.15343915343924,3.5818449735449738,0.00178,0.0014662532275132286,8752.228484656094,0.0012607757671957657,7275.655650793655
406.5,-1.2,1200.0,26.666666666666668,-2173.333333333316,29.219576719576807,3.582286772486773,0.00178,0.0014670662566137577,8759.703478042338,0.0012596885978835965,7278.6765218254
407.0,-0.9,900.0,20.0,-2163.333333333316,29.269179894179985,3.582618121693122,0.00178,0.0014676760284391547,8765.30972308202,0.0012588732208994695,7280.9421750992105
407.5,-1.1,1100.0,24.444444444444443,-2151.1111111110936,29.32980599647275,3.583023104056438,0.00178,0.0014684213051146396,8772.161800352744,0.001257876649029981,7283.711306878311
408.0,-1.1,1100.0,24.444444444444443,-2138.8888888888714,29.39043209876552,3.5834280864197536,0.00178,0.0014691665817901246,8779.013877623467,0.0012568800771604926,7286.4804386574115
408.5,-1.0,1000.0,22.22222222222222,-2127.77777777776,29.44554673721349,3.5837962522045856,0.00178,0.0014698441060405655,8785.24303877867,0.0012559741027336848,7288.997831183866
409.0,-1.0,1000.0,22.22222222222222,-2116.666666666649,29.500661375661466,3.5841644179894185,0.00178,0.0014705216302910065,8791.472199933873,0.0012550681283068769,7291.515223710321
409.5,-1.0,1000.0,22.22222222222222,-2105.555555555537,29.55577601410944,3.584532583774251,0.00178,0.0014711991545414474,8797.701361089075,0.001254162153880069,7294.032616236776
410.0,-1.0,1000.0,22.22222222222222,-2094.444444444426,29.61089065255741,3.584900749559084,0.00178,0.0014718766787918881,8803.930522244278,0.0012532561794532614,7296.550008763232
410.5,-1.0,1000.0,22.22222222222222,-2083.333333333315,29.666005291005384,3.5852689153439163,0.00178,0.0014725542030423293,8810.15968339948,0.0012523502050264534,7299.067401289687
